"";"nr_orcamento_ano";"nr_orcamento_cnpj";"total_empenhado"
"1";2001;28719664000124;39544024669,18
"2";2001;37113180000128;1111023713,95
"3";2001;3658432000182;962973417,77
"4";2001;61699567000192;592742502,2
"5";2001;2871771000180;371394399,38
"6";2001;18720938000141;333053166,04
"7";2001;61189445000156;299317564,69
"8";2001;42429480000150;298399181,73
"9";2001;42270181000116;240453580,27
"10";2001;2641663000110;232357139,22
"11";2002;37113180000128;921816767,28
"12";2002;3658432000182;888510715,79
"13";2002;61699567000192;548415120,34
"14";2002;2871771000180;443807800,46
"15";2002;2641663000110;416339234,89
"16";2002;61189445000156;413302509,14
"17";2002;42429480000150;316508730
"18";2002;42270181000116;315074714,05
"19";2002;18720938000141;256884514,99
"20";2002;30036685000197;228938284,19
"21";2003;37113180000128;871489309,85
"22";2003;3658432000182;831231277,01
"23";2003;61189445000156;575804717,22
"24";2003;61699567000192;516586146,53
"25";2003;2641663000110;380126000,64
"26";2003;42429480000150;295096442,58
"27";2003;42270181000116;227785539,77
"28";2003;18720938000141;196235854,9
"29";2003;1710917000142;191967054,22
"30";2003;30036685000197;189355801,43
"31";2004;37113180000128;1023813098,11
"32";2004;3658432000182;885826649,31
"33";2004;61699567000192;519499455,8
"34";2004;61189445000156;515784611,7
"35";2004;2641663000110;252288578,2
"36";2004;42429480000150;237602170,11
"37";2004;18720938000141;230430448,19
"38";2004;30036685000197;195905155,31
"39";2004;61600839000155;148580006,85
"40";2004;2196013000103;146711355,56
"41";2005;37113180000128;1117028309,06
"42";2005;3658432000182;963791863,89
"43";2005;61699567000192;560406714,5
"44";2005;61189445000156;544519306,11
"45";2005;18720938000141;435321854,65
"46";2005;42270181000116;287629839,43
"47";2005;42429480000150;277533657,54
"48";2005;5080329000123;266727526,32
"49";2005;30277685000189;221548172,91
"50";2005;30036685000197;200102529,7
"51";2006;37113180000128;1223731740,83
"52";2006;3658432000182;828967617,11
"53";2006;61189445000156;802900140,06
"54";2006;61699567000192;524887334,42
"55";2006;18720938000141;368834092,73
"56";2006;42429480000150;319968157,61
"57";2006;30036685000197;219164972,43
"58";2006;2385669000174;204562595,76
"59";2006;61600839000155;188879670,59
"60";2006;25763673000124;176189314,34
"61";2007;37113180000128;1266413810,09
"62";2007;3658432000182;814565850,84
"63";2007;61699567000192;492976367,62
"64";2007;18720938000141;479428890,33
"65";2007;5641145000195;439842323,6
"66";2007;2385669000174;412586497,88
"67";2007;42429480000150;340840900,28
"68";2007;61189445000156;331093066,16
"69";2007;42270181000116;240771045,45
"70";2007;2196013000103;218820095,25
"71";2008;37113180000128;1334714058,77
"72";2008;3658432000182;851297006,12
"73";2008;61189445000156;528340024,83
"74";2008;18720938000141;526851125,29
"75";2008;61699567000192;421224640,72
"76";2008;2385669000174;281077612,49
"77";2008;14645162000191;270762037,25
"78";2008;3508097000136;239689978,25
"79";2008;30036685000197;216474124,69
"80";2008;42429480000150;198428543,64
"81";2009;61189445000156;1685100158,56
"82";2009;37113180000128;1362180096,9
"83";2009;3658432000182;907569944,45
"84";2009;18720938000141;485808611,97
"85";2009;61699567000192;439794731,59
"86";2009;14645162000191;276630484,86
"87";2009;2385669000174;273342413,73
"88";2009;30036685000197;235150611,32
"89";2009;33798026000186;230662371,62
"90";2009;2519717000170;206859369,73
"91";2010;37113180000128;1255151018,44
"92";2010;61189445000156;1015824296,08
"93";2010;3658432000182;732662544,02
"94";2010;18720938000141;427225062,56
"95";2010;61699567000192;321967784,49
"96";2010;2385669000174;309233708,59
"97";2010;14645162000191;308438416,36
"98";2010;83476911000117;255715555,93
"99";2010;3508097000136;243900618,41
"100";2010;30036685000197;242963347,16
"101";2011;37113180000128;1417807476,69
"102";2011;61189445000156;734875232,11
"103";2011;18720938000141;481789966,91
"104";2011;2385669000174;413404625,11
"105";2011;14645162000191;313034445,77
"106";2011;42270181000116;304099370,45
"107";2011;61699567000192;264647020,69
"108";2011;3508097000136;254221933,54
"109";2011;25763673000124;215304141,34
"110";2011;33798026000186;204722292,29
"111";2012;37113180000128;1427826085,16
"112";2012;61189445000156;1176431198,2
"113";2012;18720938000141;606071431,69
"114";2012;2385669000174;596822899,81
"115";2012;5080329000123;501023856,8
"116";2012;3747268000180;486571861,05
"117";2012;3508097000136;356954756,49
"118";2012;42270181000116;329676406,7
"119";2012;14645162000191;308815396,54
"120";2012;61699567000192;284458702,05
"121";2013;37113180000128;1395234831,38
"122";2013;61189445000156;1343645628,98
"123";2013;3508097000136;587889954,73
"124";2013;3747268000180;581162110,15
"125";2013;18720938000141;542899491,61
"126";2013;2385669000174;538860816,03
"127";2013;5080329000123;431079933,08
"128";2013;42270181000116;376036469,27
"129";2013;1576817000175;361159984,87
"130";2013;14645162000191;352280199,32
"131";2014;37113180000128;1356295073,65
"132";2014;61189445000156;1034614349,01
"133";2014;2385669000174;688580157,7
"134";2014;3747268000180;660577004,29
"135";2014;42270181000116;645451403,14
"136";2014;18284407000153;604025681,94
"137";2014;3508097000136;507833875,88
"138";2014;5080329000123;440248484,03
"139";2014;27901719000150;428194268,08
"140";2014;18720938000141;382902261,43
"141";2015;37113180000128;1536370478,42
"142";2015;18284407000153;768803663,6
"143";2015;3747268000180;749556615,21
"144";2015;1576817000175;546871935,74
"145";2015;27901719000150;546179281,82
"146";2015;42270181000116;520083334,13
"147";2015;2385669000174;475686458,26
"148";2015;18720938000141;325887300,16
"149";2015;3508097000136;297889347,93
"150";2015;5080329000123;269913585,79
"151";2016;61189445000156;2185449412,56
"152";2016;37113180000128;1476132198,81
"153";2016;27901719000150;811742911,97
"154";2016;2385669000174;632602168,03
"155";2016;18284407000153;622924706,25
"156";2016;42270181000116;546197181,71
"157";2016;3747268000180;507095336,15
"158";2016;1576817000175;387721661,8
"159";2016;3508097000136;290009763,98
"160";2016;33641663000144;274148461,38
"161";2017;30277685000189;4848661350,19
"162";2017;61189445000156;2312914652,21
"163";2017;37113180000128;1472875446,62
"164";2017;3747268000180;859119910,31
"165";2017;42270181000116;674111324,29
"166";2017;27901719000150;649283725
"167";2017;2385669000174;631009139,62
"168";2017;1576817000175;587696353,91
"169";2017;33641663000144;421689799,07
"170";2017;3508097000136;338691203,19
"171";2018;61189445000156;2699429650,62
"172";2018;37113180000128;1520840920,83
"173";2018;3034433000156;1248343651,12
"174";2018;2385669000174;650621547,98
"175";2018;1576817000175;621248617,46
"176";2018;27901719000150;619548789,76
"177";2018;3747268000180;492040553,81
"178";2018;33641663000144;455586511,36
"179";2018;42270181000116;434735828,9
"180";2018;3508097000136;295702693,72
"181";2019;61189445000156;2757067894,01
"182";2019;37113180000128;1485233319,14
"183";2019;3034433000156;1339266441,04
"184";2019;2385669000174;684749997,29
"185";2019;42270181000116;635270500,92
"186";2019;27901719000150;619584521,34
"187";2019;3508097000136;496398987,56
"188";2019;1576817000175;477752762,63
"189";2019;33641663000144;428047805,19
"190";2019;17312597000102;400854583,07
"191";2020;3034433000156;2662836671,71
"192";2020;61189445000156;2140350104,59
"193";2020;2385669000174;1598718908,12
"194";2020;37113180000128;1493808572,06
"195";2020;27901719000150;682348587,63
"196";2020;33641663000144;582965904,52
"197";2020;3508097000136;480884085,64
"198";2020;17312597000102;480745685,78
"199";2020;42270181000116;394079625,57
"200";2020;1576817000175;390559355,9
"201";2021;61189445000156;8413049443,91
"202";2021;3034433000156;1489699022,83
"203";2021;37113180000128;1392614537,94
"204";2021;2385669000174;1372244109,79
"205";2021;3585986000105;1081149981,17
"206";2021;954288000133;707935632,03
"207";2021;27901719000150;676718166,62
"208";2021;3508097000136;575570933,34
"209";2021;17312597000102;478965021,33
"210";2021;42270181000116;454458250,01
"211";2022;61189445000156;3576832254,04
"212";2022;3034433000156;1810480405,07
"213";2022;37113180000128;1375709160,71
"214";2022;2385669000174;951307864,08
"215";2022;27901719000150;670991599,98
"216";2022;17312597000102;497159590,52
"217";2022;3508097000136;444469495,27
"218";2022;33641663000144;410755152,85
"219";2022;1576817000175;406810939,35
"220";2022;30277685000189;371087050,74
"221";2023;61189445000156;3025188439,62
"222";2023;3034433000156;2169632633,75
"223";2023;37113180000128;1366248342,8
"224";2023;2385669000174;1273200378,49
"225";2023;1576817000175;821780791,29
"226";2023;27901719000150;673820810,65
"227";2023;3508097000136;553304818,72
"228";2023;17312597000102;485893849,84
"229";2023;30277685000189;402154381,37
"230";2023;18284407000153;387344643,65
