"";"nr_orcamento_ano";"sum"
"1";2001;13898516546,53
"2";2002;13316277288,64
"3";2003;11445422196,24
"4";2004;13399615979,63
"5";2005;16399711697
"6";2006;17303710324,38
"7";2007;19583152652,52
"8";2008;18726417933,98
"9";2009;19608780679,8
"10";2010;19993754089,21
"11";2011;16330736571,66
"12";2012;18606592229,26
"13";2013;18049490772,82
"14";2014;19035496389,15
"15";2015;15824525070,58
"16";2016;16562521381,38
"17";2017;21493142648,11
"18";2018;17855016742,25
"19";2019;18149102672,42
"20";2020;19694783123,47
"21";2021;26075151203,51
"22";2022;19611561688,32
"23";2023;24695498450,24
